#       time         integral Re         integral Im         integral Re         integral Im
#       r =            30.000000           30.000000           50.000000           50.000000
   7.5000000    7.4553716864e-15   -9.3164875950e-16   -8.7984799376e-16   -1.4011815321e-15
   7.6000000    5.1814656127e-15   -1.2270392727e-15    4.6543902713e-15   -2.6485357377e-16
   7.7000000    4.1020903232e-15   -1.1773220610e-15   -4.6207437363e-15   -6.5875114177e-15
   7.8000000    1.5384749487e-15   -1.2742284789e-15   -4.5755306416e-15   -5.6931833695e-15
   7.9000000   -1.5843916339e-15   -3.1652119532e-15   -4.0896496537e-15   -3.2717019597e-15
   8.0000000   -5.5617675646e-15    3.0166766275e-16    4.0341070294e-15   -3.8705206576e-15
   8.1000000   -6.5502543206e-15   -6.8109933633e-16   -1.5597688235e-15   -3.4498855379e-15
   8.2000000   -9.2351698088e-15    1.1913996363e-15   -1.0123270092e-14   -3.4660524048e-15
   8.3000000   -6.2011778998e-15    2.2920910387e-16   -1.7256534244e-14   -2.9695492527e-15
   8.4000000   -1.6839247636e-15   -7.9806176826e-16   -9.1712609947e-15   -4.3595331413e-15
   8.5000000   -3.1253430690e-15   -3.2115781286e-15    7.1313214711e-15   -3.2847483715e-16
   8.6000000    1.4792089238e-15   -2.0834006494e-15    4.6057791655e-16    6.3832784243e-15
   8.7000000    1.1526582549e-15   -5.0099610926e-16   -3.9464366849e-15    1.9204608324e-16
   8.8000000    2.3136814517e-15   -7.3384078524e-17    3.5282289877e-15    7.5743069217e-15
   8.9000000   -5.5479442303e-16    2.5746541976e-15    8.8535991244e-15    9.0027907056e-15
   9.0000000   -1.6232182627e-15    3.7252942438e-15    1.5884392020e-14    4.1875613256e-15
   9.1000000   -1.8641336467e-15    2.2302878140e-15    2.1108181498e-15    5.0598393940e-16
   9.2000000   -3.8943514883e-15   -9.5772530411e-17   -4.5747783456e-15   -3.7921836848e-15
   9.3000000    1.7027233587e-17    2.8077204395e-15    2.7263682213e-16   -1.3186857884e-15
   9.4000000   -3.3724464841e-15    2.9508604827e-15    4.7881207827e-15   -4.1909834291e-15
   9.5000000   -1.5106384523e-15    1.3493833353e-15    8.2344002472e-15   -5.0742186699e-15
   9.6000000   -4.5977091461e-15    1.4625348953e-15    2.6678031030e-15   -2.5384304099e-15
   9.7000000   -6.6169671544e-15    3.3982642669e-15    1.3910944897e-14   -3.6960342576e-16
   9.8000000   -8.1252415425e-15    3.7234899189e-15    1.0028295872e-14    2.0984361323e-15
   9.9000000   -8.0556393358e-15    3.4715628749e-15   -2.7201297336e-15    7.2446180838e-15
  10.0000000   -7.3588266882e-15    4.4821969878e-15    6.3883773614e-17    5.6930511940e-15
  10.1000000   -3.8302727834e-15    3.8464862693e-15    3.2874141217e-15    8.3304236668e-15
  10.2000000   -6.7701501904e-15    6.0463970973e-15   -3.2026699872e-15    5.6959049129e-15
  10.3000000   -5.7024163741e-16    6.0689387490e-15    6.4437896761e-15    1.2084794643e-15
  10.4000000    5.5289827749e-17    6.2258482718e-15   -8.2401236441e-15    2.6990026577e-15
  10.5000000    1.5879770440e-15    6.0139514834e-15   -3.0045918233e-15    3.6564552249e-15
  10.6000000    3.2904647829e-15    5.9401589927e-15   -5.4095303889e-15    6.5204841396e-15
  10.7000000   -1.3288952887e-15    5.1175703841e-15   -3.2337260820e-15    1.6476568707e-15
  10.8000000   -2.0840665436e-15    3.4496999133e-15   -6.0284555809e-15    3.3502600178e-15
  10.9000000   -1.2209645071e-15    1.0715652902e-15   -1.1686131750e-14    1.6973373676e-15
  11.0000000   -4.2975070709e-15   -1.8506900770e-15   -3.8336854907e-15   -4.7018699920e-16
  11.1000000   -2.7582816109e-15   -3.8466427505e-15    3.3475081014e-15   -6.5038872282e-16
  11.2000000   -1.7419052274e-15   -1.8573503076e-15    3.7106410649e-15    1.7037444857e-15
  11.3000000   -2.6573816455e-15   -1.1299625952e-15    2.4040140841e-15    1.1121213409e-15
  11.4000000   -3.0309533704e-15   -2.0070726727e-15   -2.4450426382e-15    4.8223396518e-15
  11.5000000   -7.2188227175e-15   -1.5016991205e-15   -1.5177544475e-15    5.6529754787e-15
  11.6000000   -7.0535277241e-15   -2.5533930364e-15    1.7422396751e-15    5.3226938130e-15
  11.7000000   -5.6725747554e-15   -4.6167933412e-15   -5.2925725843e-16    8.9606737244e-15
  11.8000000   -1.1670766578e-15   -2.7436190035e-15    3.3481574855e-15    4.1355067115e-15
